PA,wOBA,UBR,wGDP,SB,CS,1B,BB,HBP,IBB,playerid
82,.261,-0.9,-0.9,2,0,6,7,1,1,16686
284,.261,1.9,0.5,0,0,42,12,0,1,16885
154,.260,-0.3,0.9,3,1,21,8,0,0,16429
191,.260,-0.3,0.7,3,3,21,23,1,0,15274
180,.259,-1.0,-0.9,3,1,34,9,0,1,7927
307,.259,-1.1,-0.4,3,2,36,20,9,0,5497
29,.259,0.1,0.0,0,0,3,3,0,0,12399
260,.259,-1.4,-0.6,5,1,33,23,1,0,9345
197,.259,1.0,0.6,1,0,22,24,2,0,19928
18,.258,-0.5,-0.3,0,0,3,0,0,0,16953
426,.258,-4.4,-0.3,0,0,41,47,5,1,6887
315,.257,-1.3,1.2,6,1,48,30,2,1,15194
122,.256,-0.1,0.7,0,0,9,15,0,0,15767
285,.256,-0.5,-0.4,3,1,29,15,1,0,16930
161,.254,-2.2,0.0,1,0,25,5,3,1,13755
72,.254,0.0,0.3,0,0,5,11,1,1,15585
220,.253,0.2,0.6,4,3,22,18,4,0,19346
277,.253,-0.2,0.9,1,1,33,34,1,6,17922
24,.253,0.0,0.2,0,0,1,1,0,0,18395
68,.252,0.4,0.0,4,1,9,1,0,0,14196
451,.252,0.5,-1.8,1,0,77,32,3,0,10847
161,.251,-0.5,0.6,1,0,11,17,1,0,2900
65,.251,-0.1,-0.1,0,0,10,5,0,1,19267
197,.250,1.3,-0.5,3,0,15,14,7,0,20003
554,.249,2.6,2.1,6,1,87,27,1,3,17696
39,.248,,,0,0,8,1,1,0,12972
17,.248,,,1,0,4,1,0,0,20339
112,.247,0.1,0.6,2,1,16,4,0,0,24617
220,.246,-0.7,0.2,2,1,28,10,1,0,13744
105,.246,-1.0,0.2,0,2,20,4,1,0,17736
50,.245,-0.6,0.0,0,0,7,3,0,1,20056
89,.245,-0.4,0.0,1,0,11,7,0,1,13185
257,.244,-1.0,-1.2,2,0,37,17,2,1,11936
229,.244,-1.0,-0.3,2,2,41,8,0,0,13369
55,.244,0.3,-0.1,0,0,7,4,0,0,11481
94,.244,-0.9,-0.7,0,0,14,1,3,0,16925
190,.244,0.6,0.4,1,0,28,9,2,0,19858
183,.243,1.1,0.9,2,3,25,14,4,1,27461
31,.243,,,0,0,3,1,0,0,21318
149,.243,0.5,0.5,10,5,19,10,0,0,4866
18,.242,,,0,0,3,0,0,0,3184
21,.242,0.0,0.1,1,0,5,1,0,0,4062
36,.241,-0.3,-0.2,0,0,2,2,1,0,5667
202,.241,-1.3,-1.3,2,0,27,9,1,0,24655
178,.241,1.0,0.6,1,1,21,10,3,0,14477
37,.240,,,0,0,3,3,1,0,19316
11,.240,0.1,0.0,0,0,3,0,0,0,20047
94,.240,-0.6,0.1,5,1,11,6,1,0,18054
225,.239,1.7,0.3,11,0,41,15,0,4,17023
34,.239,-0.1,0.1,0,0,4,1,2,0,11287
133,.239,-1.0,0.4,1,0,10,17,5,1,18136
281,.238,-0.6,-0.2,1,1,39,16,2,0,14885
185,.238,-0.2,-1.2,0,0,20,20,4,2,19514
156,.237,0.6,0.1,5,3,19,7,9,0,15124
350,.237,0.7,1.4,3,1,31,31,1,2,15998
62,.237,-0.2,-1.1,0,0,10,2,0,0,5491
139,.236,0.0,-1.4,1,0,16,8,0,0,15271
42,.236,1.5,0.3,0,0,7,3,2,0,19818
72,.236,0.1,0.0,0,0,9,2,4,1,19354
50,.231,0.3,-0.4,0,1,7,6,0,0,22871
141,.231,0.0,-0.3,2,0,14,12,1,0,14103
148,.231,0.1,0.0,0,0,11,7,1,0,21534
83,.230,-0.2,0.2,0,0,6,10,4,1,19873
184,.230,-0.2,0.0,2,0,12,22,0,1,19562
23,.229,-0.1,0.0,0,0,6,0,0,0,21127
137,.229,0.0,-0.1,0,1,15,17,1,5,15490
87,.228,0.3,-0.1,0,0,11,4,3,1,18142
312,.227,-0.1,-0.1,1,0,34,15,1,1,12976
98,.227,0.4,-0.3,0,0,11,6,1,0,20287
16,.227,0.1,0.2,0,0,0,1,0,0,13663
151,.227,-0.8,0.7,0,0,11,13,7,1,17276
34,.226,0.3,-0.2,0,0,1,3,1,0,14453
220,.225,-1.8,0.3,0,0,28,12,3,0,5273
231,.225,-0.5,0.5,0,1,14,19,2,1,12977
428,.224,1.3,0.1,7,1,40,28,10,0,12984
66,.224,-1.0,0.0,0,0,9,3,1,0,17161
64,.223,-0.1,0.0,0,1,8,4,0,0,1159
136,.222,0.4,0.5,1,1,17,8,0,0,14567
44,.220,-0.1,-0.1,0,0,5,3,1,0,21735
69,.219,-0.9,-0.1,0,0,2,12,1,2,3353
51,.219,0.4,0.2,0,0,4,5,3,0,14555
39,.217,-0.2,-0.6,0,0,2,5,0,0,9892
52,.217,,,0,0,3,9,1,0,5524
44,.216,-0.1,0.3,0,0,3,7,0,0,18482
40,.215,-0.4,-0.2,0,0,6,3,0,0,19961
66,.214,-0.8,-0.3,1,1,7,1,0,0,19635
28,.213,0.1,-0.2,0,0,6,1,0,0,13854
11,.212,0.1,0.0,0,1,1,0,0,0,17216
30,.210,0.8,-0.2,0,1,3,5,0,0,11470
103,.210,-0.3,0.3,4,1,9,12,3,0,15104
59,.210,,,0,0,7,3,0,0,8779
185,.209,1.2,-0.3,10,1,17,9,1,0,18900
39,.209,,,0,0,8,1,0,0,2036
21,.209,0.6,-0.1,0,0,1,1,0,0,13254
17,.208,0.1,-0.3,0,0,1,1,1,0,20321
65,.206,0.7,0.1,1,1,11,5,1,1,11241
51,.205,,,0,0,5,2,0,0,4930
83,.205,-0.5,0.1,0,0,8,7,2,0,15694
38,.205,0.1,0.1,0,0,4,2,0,0,18067
19,.205,,,0,0,2,1,0,0,19388
12,.204,0.0,0.1,0,0,2,1,0,0,10416
24,.204,-0.8,0.2,0,0,4,2,0,0,16042
105,.204,-0.2,-0.1,2,2,13,5,0,0,14818
42,.203,,,0,0,4,1,0,0,19291
46,.202,-0.6,0.4,1,0,6,3,1,0,17098
62,.201,0.0,-0.3,0,0,3,3,0,0,20233
70,.200,,,0,0,10,0,1,0,14765
40,.198,-0.9,-0.1,0,0,5,4,0,1,9393
104,.197,0.4,0.2,0,0,9,6,1,0,20078
63,.197,,,0,0,5,6,0,0,16149
43,.197,0.1,0.3,2,0,5,3,0,1,19968
159,.196,0.8,0.8,0,0,17,10,2,0,14942
106,.196,0.1,-0.1,0,0,13,10,0,3,12284
28,.196,,,0,0,5,1,0,0,16977
40,.195,,,0,0,5,2,0,0,16256
117,.194,-0.3,0.0,0,0,12,8,1,0,13167
40,.193,0.0,-0.4,0,0,5,3,0,0,15808
83,.192,0.1,-0.1,1,0,8,6,0,1,13324
53,.192,,,0,0,2,2,0,0,17995
28,.191,,,0,0,3,1,0,0,23796
76,.190,-0.1,0.3,2,0,9,3,1,0,16041
66,.187,-0.2,0.5,0,1,7,2,0,0,15994
72,.186,-0.2,0.0,1,0,7,4,1,0,18872
21,.185,0.2,0.1,0,0,3,0,0,0,19878
22,.183,,,0,0,3,2,0,0,22487
30,.182,,,0,0,3,2,1,0,4153
36,.182,0.3,0.1,0,0,2,3,1,0,20242
60,.182,0.1,-0.3,0,0,3,7,2,0,18316
30,.180,0.0,0.1,0,0,3,4,0,0,12198
39,.180,-0.1,0.2,0,2,4,4,0,1,19577
62,.178,,,0,0,10,2,0,0,14107
21,.177,-0.3,0.2,0,0,2,0,1,0,10655
20,.177,0.4,0.1,1,0,1,1,1,0,17478
15,.175,0.0,0.1,0,0,0,2,0,0,16593
96,.172,-0.2,-0.3,0,0,8,8,1,0,16404
34,.170,,,0,0,4,1,0,0,14663
59,.169,,,0,0,6,1,0,0,15689
59,.166,,,0,0,8,3,0,0,19361
13,.164,0.0,-0.2,0,0,0,1,2,0,14330
40,.163,0.7,-0.3,0,0,2,3,2,0,785
34,.161,0.5,0.2,0,0,2,0,0,0,12225
30,.160,,,0,0,3,0,0,0,10123
11,.160,,,0,0,2,0,0,0,21844
37,.160,-0.2,-0.3,0,0,4,3,0,0,17684
17,.159,0.0,0.0,0,0,0,1,0,0,14388
68,.159,0.0,0.1,0,0,3,2,1,0,19948
44,.155,,,0,0,6,0,0,0,13183
73,.153,,,0,0,9,0,0,0,10310
74,.149,,,0,0,5,3,0,0,2233
25,.147,,,1,0,1,1,1,0,14875
37,.147,0.6,0.3,0,0,2,3,0,1,19956
63,.147,,,0,0,7,3,0,0,9323
33,.147,,,0,0,5,0,0,0,8246
20,.146,,,0,0,0,4,0,0,19959
54,.143,0.0,0.0,0,0,3,2,0,0,14109
58,.143,,,1,0,3,4,0,0,13431
57,.143,,,0,0,5,1,0,0,12970
11,.143,0.0,0.0,0,1,1,1,0,0,14137
46,.143,,,0,0,1,2,0,0,12718
38,.142,-1.3,-0.4,0,0,3,4,0,0,22217
43,.142,,,0,0,6,1,0,0,12768
18,.141,,,0,0,1,0,0,0,16094
82,.140,,,0,0,5,5,0,0,19374
29,.138,,,0,0,2,0,1,0,27458
31,.136,0.0,0.2,0,0,4,1,0,0,19872
13,.135,,,0,0,2,0,0,0,17312
13,.135,-0.1,0.1,0,0,2,0,0,0,19250
32,.134,,,0,0,3,2,0,0,17594
58,.134,,,0,0,6,3,0,0,16162
40,.133,,,0,0,3,1,0,0,12880
33,.133,0.1,0.1,1,0,1,3,2,0,5223
48,.132,0.2,0.1,0,0,2,2,1,0,18881
12,.131,0.0,0.1,0,0,1,1,0,0,2539
12,.131,0.0,0.0,0,0,1,1,0,0,12174
13,.131,,,0,0,1,1,0,0,20167
61,.130,,,0,0,5,2,0,0,12049
43,.129,,,0,0,3,4,0,0,17578
30,.126,,,0,0,2,2,0,0,11189
22,.122,,,0,0,2,1,0,0,16918
37,.120,,,1,0,2,3,0,0,6893
51,.119,,,0,0,5,1,1,0,11836
62,.118,,,0,0,6,0,0,0,4676
16,.117,,,0,0,2,0,0,0,17432
20,.116,,,0,0,0,0,1,0,20302
42,.115,,,0,0,3,2,0,0,19278
60,.113,0.0,0.4,2,0,3,1,0,0,17723
58,.113,,,0,0,2,4,0,0,11156
26,.110,,,0,0,3,0,0,0,4806
55,.108,,,0,0,3,0,1,0,13074
21,.108,0.0,0.1,0,0,1,2,0,0,5751
13,.106,0.0,0.0,0,0,0,2,0,0,4243
15,.103,,,0,0,0,0,0,0,15036
37,.103,,,0,0,4,0,0,0,13543
42,.101,,,0,0,3,1,0,0,16561
20,.098,,,0,0,2,0,0,0,18674
45,.096,,,0,0,4,1,0,0,18679
41,.096,,,0,0,1,1,1,0,19800
50,.094,,,0,0,5,0,0,0,14916
18,.092,,,0,0,1,1,0,0,19266
17,.092,0.0,0.0,1,0,1,1,0,0,19909
66,.092,,,0,0,3,4,0,0,16358
36,.091,0.2,0.1,0,0,2,0,0,0,3411
25,.090,-0.1,-0.1,0,0,1,2,0,0,18433
62,.089,,,0,0,1,4,0,0,13050
25,.088,,,0,0,1,0,0,0,11682
11,.088,,,0,0,1,0,0,0,18769
10,.088,,,0,0,1,0,0,0,20631
11,.088,,,0,0,1,0,0,0,25379
33,.088,,,0,0,1,1,0,0,17859
34,.086,,,0,0,0,4,0,0,8223
18,.081,,,0,0,0,2,0,0,16929
47,.080,,,0,1,0,5,0,0,13781
11,.080,0.0,0.1,0,0,1,0,0,0,16313
64,.079,,,0,0,1,3,1,0,18684
15,.077,,,0,0,0,1,0,0,9803
18,.077,0.0,0.0,0,0,0,2,0,0,14950
46,.076,,,0,0,3,1,0,0,22286
35,.075,,,0,0,0,0,0,0,17085
41,.074,,,0,0,1,1,0,0,19951
25,.073,,,0,0,1,0,1,0,19990
24,.071,,,0,0,1,1,0,0,14975
18,.069,0.0,0.1,0,0,0,0,0,0,19952
24,.068,,,0,0,1,1,0,0,24580
26,.068,0.3,0.1,1,0,2,0,0,0,20536
43,.064,,,0,0,3,0,0,0,11760
11,.063,,,0,0,0,1,0,0,19320
18,.063,,,0,0,1,0,0,0,16933
42,.062,,,0,0,1,1,1,0,20099
12,.058,,,0,0,0,1,0,0,18699
16,.055,0.0,0.2,0,0,1,0,0,0,14556
14,.053,,,0,0,0,1,0,0,18510
34,.051,,,0,0,1,1,0,0,12703
19,.046,-0.1,0.1,0,0,1,0,0,0,17975
15,.046,,,0,0,0,1,0,0,7410
37,.046,,,0,0,0,1,1,0,13774
51,.045,,,0,0,2,0,0,0,15488
16,.043,,,0,0,0,1,0,0,19225
36,.039,,,0,0,0,0,0,0,13834
43,.018,,,0,0,0,1,0,0,17425
20,.000,,,0,0,0,0,0,0,1890
63,.000,,,0,0,0,0,0,0,3137
13,.000,,,0,0,0,0,0,0,5221
19,.000,,,0,0,0,0,0,0,6632
14,.000,,,0,0,0,0,0,0,6895
10,.000,,,0,0,0,0,0,0,11490
11,.000,,,0,0,0,0,0,0,13339
18,.000,,,0,0,0,0,0,0,13684
11,.000,,,0,0,0,0,0,0,17732
11,.000,,,0,0,0,0,0,0,17964
10,.000,0.0,0.0,0,0,0,0,0,0,19667
17,.000,,,0,0,0,0,0,0,19826
14,.000,,,0,0,0,0,0,0,22175
