PA,wOBA,UBR,wGDP,SB,CS,1B,BB,HBP,IBB,playerid
547,.344,1.5,0.4,18,5,82,28,13,2,12979
572,.344,-2.8,1.2,1,2,71,44,1,0,15464
246,.344,1.9,-0.1,6,1,53,22,1,0,19997
381,.343,-1.3,-0.1,6,1,47,33,5,1,18126
415,.341,-0.2,0.2,0,0,71,19,7,0,17907
595,.341,3.9,1.5,20,6,69,53,11,2,12564
643,.341,1.5,1.6,4,3,90,55,10,6,18036
296,.341,0.5,0.8,1,2,52,28,6,0,18795
639,.341,0.8,-0.2,10,5,130,48,10,2,15223
570,.340,-1.0,0.2,5,1,73,63,10,3,16622
691,.340,-1.4,0.3,1,0,93,54,9,2,14274
234,.339,0.3,0.8,2,2,43,20,10,0,17710
251,.339,-3.0,0.7,0,1,33,20,3,3,19913
219,.339,0.1,-1.0,1,1,45,18,1,1,19600
576,.339,-0.4,-1.3,6,2,75,52,23,2,3473
127,.339,0.3,0.6,1,0,13,11,0,0,19452
582,.338,2.8,2.0,13,1,80,63,8,2,13757
36,.338,0.4,0.1,0,0,7,4,0,0,19522
585,.338,2.1,1.2,1,0,69,61,9,0,10472
567,.338,0.8,-2.0,9,3,105,39,9,3,5933
671,.337,-0.1,0.8,20,5,84,98,8,3,5254
193,.337,-1.5,0.5,1,2,14,28,2,0,16424
436,.337,-3.0,-0.8,1,0,67,41,3,0,5827
483,.337,-1.7,-0.9,5,4,57,52,14,1,11609
642,.337,-2.2,-1.0,8,0,102,80,2,2,19566
492,.337,0.3,1.2,12,5,73,31,13,1,12532
112,.336,-0.7,-0.4,0,0,11,9,5,0,3142
653,.336,0.5,-0.9,2,0,80,50,3,8,9777
686,.336,4.5,1.9,20,4,86,47,3,2,16556
619,.336,-0.4,1.1,2,1,91,57,11,2,20126
537,.336,3.6,1.0,13,3,79,48,11,5,11739
400,.336,-1.0,-1.0,1,0,65,44,4,4,17678
68,.335,-0.1,-0.4,0,0,2,3,1,0,9433
215,.335,2.0,0.0,1,2,45,11,3,0,20521
586,.335,0.2,-0.5,4,3,79,41,4,2,18373
574,.335,1.2,0.0,6,1,55,81,4,2,9847
599,.334,-2.1,2.7,1,0,80,48,1,1,6153
305,.334,-0.5,-0.1,0,0,34,45,2,0,5452
596,.334,-0.3,-1.2,6,2,78,59,4,2,15112
604,.334,2.2,0.0,6,2,110,51,4,6,17027
453,.334,-1.9,1.4,2,0,49,28,7,1,19966
510,.334,-2.5,-0.5,0,0,72,46,3,4,11342
88,.333,-0.3,-0.6,0,0,14,3,1,0,11615
237,.333,0.1,-0.1,1,1,29,20,6,0,17548
625,.333,0.6,0.5,12,2,77,77,27,0,11445
541,.333,-0.9,0.4,1,3,87,32,2,1,19238
83,.333,0.4,0.3,2,0,13,7,0,0,21614
107,.333,0.6,-0.4,0,0,18,12,4,2,19977
582,.333,0.6,0.8,3,0,97,54,11,1,7859
271,.333,0.3,-0.4,6,1,36,20,7,1,13675
120,.332,0.1,0.1,0,0,11,15,6,0,19864
181,.332,1.0,0.4,1,0,25,8,7,0,16434
241,.332,-0.5,-2.2,0,0,32,21,7,0,14811
104,.332,-1.0,-0.4,0,0,6,6,6,0,19521
532,.332,-0.5,-1.3,2,1,51,59,2,2,12164
377,.331,0.1,0.2,3,0,43,45,1,2,12775
37,.331,0.4,0.2,0,0,4,6,0,2,22799
401,.331,1.2,1.5,9,4,60,27,5,6,18030
33,.331,,,0,0,11,0,0,0,10954
500,.330,1.1,0.3,8,5,70,54,0,2,10047
189,.330,-0.7,-0.8,0,0,24,19,3,0,22581
371,.330,-1.9,-2.2,0,0,46,30,2,1,11680
170,.330,-0.4,0.1,5,3,35,17,3,3,21479
134,.329,-1.0,1.0,1,1,24,8,0,1,17750
205,.329,-0.2,-0.2,0,0,17,17,3,0,16535
461,.329,2.0,0.4,18,4,67,45,0,1,22168
565,.329,4.3,0.5,22,1,120,49,4,0,19339
359,.328,0.6,-1.3,0,0,48,44,6,1,13620
163,.328,0.9,0.5,3,0,24,10,4,0,20308
529,.328,-0.2,0.7,4,3,73,28,9,0,19363
24,.328,-0.2,0.0,1,0,2,2,1,0,10700
535,.328,0.9,-1.2,9,2,59,62,5,0,17919
538,.328,0.7,1.8,8,9,90,36,2,0,17901
264,.328,0.7,-1.1,6,3,29,37,0,1,16939
378,.327,-0.9,1.0,12,5,47,27,9,0,17128
297,.327,1.5,1.0,7,0,42,27,2,3,17719
591,.327,-3.0,2.2,4,3,62,59,6,3,15672
550,.327,4.3,0.7,9,4,82,58,0,1,19734
322,.327,1.1,-3.4,8,1,66,25,7,0,13836
319,.327,-0.9,-0.2,0,0,43,28,8,0,10059
320,.327,-0.6,0.5,4,2,47,25,4,0,19599
616,.326,-2.4,-2.4,0,0,87,51,8,4,15149
532,.326,1.0,2.5,4,0,49,51,9,4,14854
173,.325,-0.4,-0.3,0,0,35,12,3,0,13807
272,.325,-0.6,0.0,0,0,46,15,2,0,18819
541,.325,-1.4,-0.1,1,1,85,69,3,4,16578
475,.325,0.9,0.8,9,3,69,70,3,5,11477
96,.325,-0.8,-0.5,0,0,18,6,2,0,19610
349,.325,0.8,1.3,3,0,65,17,9,0,6310
258,.325,-3.1,-0.8,0,0,30,43,0,1,14130
558,.325,-0.5,0.8,9,5,98,31,18,0,8202
344,.324,0.1,-0.4,2,0,62,25,7,2,8623
555,.324,-3.7,0.6,5,0,60,35,4,1,10950
674,.324,-0.3,-1.6,2,0,120,37,6,0,11265
602,.323,-5.8,-0.5,0,0,61,67,6,0,14221
265,.322,0.0,0.0,10,2,29,46,2,1,19260
653,.322,2.0,1.3,9,3,84,52,5,4,18314
445,.322,-0.8,-1.3,0,0,73,41,7,3,13338
315,.322,3.0,1.0,6,0,40,30,0,3,19918
400,.322,1.7,0.1,3,6,55,51,3,2,12160
326,.322,0.5,-0.3,4,4,60,17,17,2,17022
479,.322,-0.5,-0.7,1,0,60,59,12,3,16376
479,.321,2.5,-0.9,2,2,101,43,2,2,18568
306,.321,1.4,-0.9,15,2,41,28,4,2,16153
175,.321,-1.5,0.5,1,1,15,26,0,0,5486
289,.320,-0.6,-1.4,3,0,54,22,1,1,19334
527,.320,2.5,-0.6,13,5,66,54,6,2,18564
38,.320,0.7,0.2,0,0,4,6,0,0,18288
147,.320,-1.2,0.5,2,0,23,16,1,0,19508
277,.320,-0.3,0.0,0,0,41,17,7,0,16403
505,.320,3.1,1.1,14,7,75,46,3,2,10071
565,.319,-2.9,-1.4,5,4,97,48,5,2,3516
273,.319,-1.2,-0.4,0,0,32,16,0,0,4220
286,.319,2.1,0.4,13,2,45,26,2,0,9077
302,.318,1.8,1.2,10,1,46,38,3,0,12325
561,.318,1.6,-0.3,14,6,68,78,4,3,2967
545,.318,-1.6,-0.5,1,0,91,42,4,1,19892
