"Name","Team","G","playerid"
"Mark Canha","OAK","141","11445"
"Lourdes Gurriel Jr.","TOR","141","19238"
"Kyle Isbel","KCR","28","21614"
"Tres Barrera","WSN","30","19977"
"Charlie Blackmon","COL","150","7859"
"Tyrone Taylor","MIL","93","13675"
"Riley Adams","- - -","47","19864"
"Christian Arroyo","BOS","57","16434"
"Luke Voit","NYY","68","14811"
"Andy Young","ARI","58","19521"
"Miguel Sano","MIN","135","12164"
"Brad Miller","PHI","140","12775"
"Geraldo Perdomo","ARI","11","22799"
"Harrison Bader","STL","103","18030"
"Wil Myers","SDP","146","10047"
"Alejandro Kirk","TOR","60","22581"
"Elias Diaz","COL","106","11680"
"Nico Hoerner","CHC","44","21479"
"Max Schrock","CIN","53","17750"
"Danny Jansen","TOR","70","16535"
"Akil Baddoo","DET","124","22168"
"Nicky Lopez","KCR","151","19339"
"Carson Kelly","ARI","98","13620"
"Jake Meyers","HOU","49","20308"
"Austin Hays","BAL","131","19363"
"Ryan LaMarre","NYY","9","10700"
"Ian Happ","CHC","148","17919"
"Andrew Benintendi","KCR","134","17901"
"Lane Thomas","- - -","77","16939"
"Ramon Laureano","OAK","88","17128"
"Steven Duggar","SFG","107","17719"
"Austin Meadows","TBR","142","15672"
"Josh Rojas","ARI","139","19734"
"Matt Duffy","CHC","97","13836"
"Max Stassi","LAA","87","10059"
"Chas McCormick","HOU","108","19599"
"Trey Mancini","BAL","147","15149"
"Mike Yastrzemski","SFG","139","14854"
"Kevin Plawecki","BOS","64","13807"
"Andy Ibanez","TEX","76","18819"
"Yandy Diaz","TBR","134","16578"
"Christian Yelich","MIL","117","11477"
"Keibert Ruiz","- - -","29","19610"
"Alcides Escobar","WSN","75","6310"
"Daniel Vogelbach","MIL","93","14130"
"Josh Harrison","- - -","138","8202"
"Donovan Solano","SFG","101","8623"
"Adam Duvall","- - -","146","10950"
"Jonathan Schoop","DET","156","11265"
"Jorge Soler","- - -","149","14221"
"Jake Fraley","SEA","78","19260"
"Dansby Swanson","ATL","160","18314"
"Nick Ciuffo","BAL","2","16291"
"Omar Narvaez","MIL","123","13338"
"Daulton Varsho","ARI","95","19918"
"Ben Gamel","- - -","122","12160"
"Edmundo Sosa","STL","113","17022"
"Michael Conforto","NYM","125","16376"
"Luis Arraez","MIN","121","18568"
"Austin Slater","SFG","129","16153"
"Abraham Almonte","ATL","64","5486"
"Yadiel Hernandez","WSN","112","19334"
"Trent Grisham","SDP","132","18564"
"Austin Dean","STL","22","18288"
"Kyle Lewis","SEA","36","19508"
"Francisco Mejia","TBR","84","16403"
"Jonathan Villar","NYM","142","10071"
"Eric Hosmer","SDP","151","3516"
"Ryan Zimmerman","WSN","110","4220"
"Lorenzo Cain","MIL","78","9077"
"Jace Peterson","MIL","94","12325"
"Tommy Pham","SDP","155","2967"
"Pavin Smith","ARI","145","19892"
"Sam Hilliard","COL","81","17954"
"Colin Moran","PIT","99","16909"
"Yermin Mercedes","CHW","68","17423"
"Corey Dickerson","- - -","109","10762"
"Eloy Jimenez","CHW","55","17484"
"Joey Wendle","TBR","136","13853"
"Francisco Lindor","NYM","125","12916"
"Ehire Adrianza","ATL","109","8418"
"Jose Rondon","STL","63","14140"
"Eric Haase","DET","98","14111"
"Lars Nootbaar","STL","58","21454"
"Eddie Rosario","- - -","111","12155"
"Kyle Farmer","CIN","147","14813"
"Austin Nola","SDP","56","15941"
"Amed Rosario","CLE","141","15518"
"Joc Pederson","- - -","137","11899"
"Jake McCarthy","ARI","24","21622"
"Manny Pina","MIL","75","2829"
"DJ LeMahieu","NYY","150","9874"
"Seth Brown","OAK","111","18171"
"Bobby Bradley","CLE","74","17278"
"Gary Sanchez","NYY","117","11442"
"Brian Anderson","MIA","67","18289"
"Kyle Garlick","MIN","36","18063"
"Adolis Garcia","TEX","149","19287"
"David Peralta","ARI","150","2136"
"J.P. Crawford","SEA","160","15491"
"Jon Jay","LAA","5","5227"
"Alex Dickerson","SFG","111","12649"
"Brett Phillips","TBR","119","14735"
"Jazz Chisholm Jr.","MIA","124","20454"
"Travis Jankowski","PHI","76","13768"
"Odubel Herrera","PHI","124","11476"
"Leury Garcia","CHW","126","5913"
"Jacob Stallings","PIT","112","13723"
"Wilmer Difo","PIT","116","14320"
"Matt Chapman","OAK","151","16505"
"Miguel Rojas","MIA","132","7802"
"Jed Lowrie","OAK","139","4418"
"Luis Torrens","SEA","108","15905"
"Alex Avila","WSN","34","7476"
"Myles Straw","- - -","158","17620"
"Aledmys Diaz","HOU","84","15937"
"Luis Guillorme","NYM","69","16451"
"Kevin Kiermaier","TBR","122","11038"
"Anthony Rendon","LAA","58","12861"
"Anthony Alford","PIT","49","14329"
"D.J. Stewart","BAL","100","17766"
"Nick Maton","PHI","52","21635"
"Sean Murphy","OAK","119","19352"
"Gio Urshela","NYY","116","10681"
"Max Kepler","MIN","121","12144"
"Starlin Castro","WSN","87","4579"
"Yan Gomes","- - -","103","9627"
"Kyle Seager","SEA","159","9785"
"Deven Marrero","MIA","10","13325"
"Michael Hermosillo","CHC","16","16285"
"Tommy La Stella","SFG","76","12371"
"Chad Pinder","OAK","75","15191"
"Gleyber Torres","NYY","127","16997"
"Anthony Santander","BAL","110","14551"
"Alex Kirilloff","MIN","59","20325"
"Andrew Vaughn","CHW","127","26197"
"Whit Merrifield","KCR","162","11281"
"Adalberto Mondesi","KCR","35","13769"
"Eugenio Suarez","CIN","145","12552"
"Brian Goodwin","CHW","72","12858"
"Derek Fisher","MIL","4","16192"
"Rowdy Tellez","- - -","106","15679"
"Derek Hill","DET","49","16947"
"Freddy Galvis","- - -","104","6609"
"Brett Gardner","NYY","140","9927"
"Justin Upton","LAA","89","5222"
"Miguel Cabrera","DET","130","1744"
"Raimel Tapia","COL","133","14350"
"Tyler Wade","NYY","103","15730"
"Jose Iglesias","- - -","137","10231"
"Christian Walker","ARI","115","13419"
"Yonathan Daza","COL","107","15794"
"William Contreras","ATL","52","20503"
"Gavin Lux","LAD","102","19955"
"Pablo Reyes","MIL","53","16357"
"Abraham Toro","- - -","95","19844"
"Aristides Aquino","CIN","84","15482"
"Jo Adell","LAA","35","20220"
"Albert Pujols","- - -","109","1177"
"Harold Ramirez","CLE","99","14387"
"Josh Naylor","CLE","69","18839"
"Cesar Hernandez","- - -","149","10556"
"Yoshi Tsutsugo","- - -","81","27459"
"Ke'Bryan Hayes","PIT","96","18577"
"Willie Calhoun","TEX","75","17838"
"Manuel Margot","TBR","125","14712"
"Tommy Edman","STL","159","19470"
"Edward Olivares","KCR","39","19698"
"Brent Rooker","MIN","58","19627"
"Jeff McNeil","NYM","120","15362"
"Zack Collins","CHW","78","19181"
"Trevor Larnach","MIN","79","21501"
"Tucker Barnhart","CIN","116","10200"
"Yohel Pozo","TEX","21","18848"
"Randal Grichuk","TOR","149","10243"
"Mitch Moreland","OAK","81","3086"
"Bradley Zimmer","CLE","99","16221"
"Pedro Severino","BAL","113","14523"
"Nick Solak","TEX","127","19294"
"Victor Reyes","DET","76","15487"
"Cavan Biggio","TOR","79","19252"
"Jake Lamb","- - -","55","13329"
"Phil Gosselin","LAA","104","10953"
"Asdrubal Cabrera","- - -","110","4962"
"Kevin Pillar","NYM","124","12434"
"Hanser Alberto","KCR","103","11902"
"Brandon Marsh","LAA","70","20202"
"Rob Refsnyder","MIN","51","13770"
"Jordy Mercer","WSN","46","6547"
"Dom Nunez","COL","81","15055"
"Yu Chang","CLE","89","14773"
"Carlos Santana","KCR","158","2396"
"Oscar Mercado","CLE","72","16375"
"Breyvic Valera","TOR","39","12758"
"Paul DeJong","STL","113","18015"
"Jurickson Profar","SDP","137","10815"
"Grayson Greiner","DET","31","17062"
"JT Riddle","MIN","4","17642"
"Joey Bart","SFG","2","21524"
"Hunter Dozier","KCR","144","15117"
"Isiah Kiner-Falefa","TEX","158","16512"
"Kole Calhoun","ARI","51","11200"
"Guillermo Heredia","ATL","120","18721"
"Charlie Culberson","TEX","91","3298"
"Jose Rojas","LAA","61","19331"
"Luis Garcia","WSN","70","20391"
"Travis d'Arnaud","ATL","60","7739"
"Jorge Mateo","- - -","89","17273"
"Harold Castro","DET","106","14691"
"Tom Murphy","SEA","97","13499"
"Dominic Smith","NYM","145","15653"
"Pablo Sandoval","ATL","69","5409"
"Yadier Molina","STL","121","7007"
"Rougned Odor","NYY","102","12282"
"Ryan Jeffers","MIN","85","24618"
"Clint Frazier","NYY","66","15983"
"Christian Vazquez","BOS","138","9774"
"Curt Casali","SFG","77","12510"
"Emmanuel Rivera","KCR","29","19890"
"Travis Shaw","- - -","84","11982"
"Reese McGuire","TOR","78","15674"
"Rene Rivera","- - -","25","3648"
"Garrett Hampson","COL","147","19262"
"Lewin Diaz","MIA","40","18365"
"Miguel Andujar","NYY","45","15878"
"Renato Nunez","DET","14","14503"
"Jake Marisnick","- - -","99","11339"
"Nick Martini","CHC","25","12005"
"Josh VanMeter","ARI","112","15170"
"Nick Senzel","CIN","36","19293"
"Niko Goodrum","DET","90","12092"
"Payton Henry","MIA","5","22164"
"Michael A. Taylor","KCR","142","11489"
"Webster Rivas","SDP","24","14636"
"Alec Bohm","PHI","115","21618"
"Austin Barnes","LAD","77","12158"
"Jack Mayfield","- - -","87","15402"
"Marcell Ozuna","ATL","48","10324"
